seller_name,Count_of_favs,total_sales,total_shop_reviews,shop_rating,years_active_with_Etsy,seller_return_policy,seller_return_time,seller_shipping_time,seller_responsivess
PIANOSHOP1,"10 Admirers","3 sales","(1)","5","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","6–8 weeks",""
DustRoad,"417 Admirers","851 sales","(147)","4.7264","On Etsy since 2016","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1–3 business days","within a few hours."
VintagePisiShop,"328 Admirers","696 sales","(142)","4.9783","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
retrovue,"75 Admirers","40 sales","","5","On Etsy since 2011","I gladly accept returns","3 days of delivery","1–3 business days",""
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
VintageJordanShop,"479 Admirers","488 sales","(112)","4.9516","On Etsy since 2016","I gladly accept returns","3 days of delivery","1 business day","within a few hours."
ElainesArtStudio,"24 Admirers","10 sales","(4)","5","On Etsy since 2015","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
CharminzCollectionz,"49 Admirers","186 sales","(67)","4.8542","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
AaronsArtichokeAlley,"724 Admirers","1,673 sales","(412)","4.9787","On Etsy since 2013","I gladly accept returns","7 days of delivery","3–5 business days","within 24 hours."
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
wilshepherd,"8006 Admirers","7,674 sales","(2707)","4.9554","On Etsy since 2009","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
AntiqueAndEclectic,"120 Admirers","103 sales","(25)","5","On Etsy since 2015","","","1 business day","within 24 hours."
hkmCuriosities,"142 Admirers","301 sales","(105)","5","On Etsy since 2015","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
LovelyLivelyHomey,"9 Admirers","12 sales","(1)","5","On Etsy since 2019","I gladly accept returns and cancellations","14 days of delivery","1–2 business days",""
BeyondTheDoor,"1383 Admirers","3,312 sales","(1080)","4.978","On Etsy since 2009","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
BeyondTheDoor,"1383 Admirers","3,312 sales","(1080)","4.978","On Etsy since 2009","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
divebackintime,"157 Admirers","276 sales","(50)","4.9545","On Etsy since 2016","","","3–5 business days","within a few hours."
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
PossumHollowVA,"12 Admirers","13 sales","(10)","5","On Etsy since 2019","","","1–2 business days","within a few hours."
VintageAndRarities,"132 Admirers","104 sales","(21)","4.875","On Etsy since 2017","","","3–5 business days","within 24 hours."
CKsfinds,"20 Admirers","14 sales","(5)","5","On Etsy since 2018","","","1 business day","within a few hours."
KarensChicNShabby,"9410 Admirers","4,001 sales","(906)","4.9042","On Etsy since 2013","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
CountryGirlCraftsPA,"1 Admirer","27 sales","(3)","5","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–2 business days",""
MADVintology,"1163 Admirers","2,760 sales","(714)","5","On Etsy since 2013","","","3–5 business days","within 24 hours."
exquisitelyfrench,"95 Admirers","113 sales","(38)","4.7619","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
MadeinUSSRandUkraine,"62 Admirers","108 sales","(29)","4.7647","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
MarshallsToys,"45 Admirers","74 sales","(34)","4.9706","On Etsy since 2019","","","1–2 weeks","within 24 hours."
EndlesslyVintage,"2940 Admirers","4,690 sales","(1217)","4.8596","On Etsy since 2012","I gladly accept returns and exchanges","3 days of delivery","1–3 business days","within 24 hours."
vintageatmosphere,"2862 Admirers","3,122 sales","(737)","4.8202","On Etsy since 2011","","","1–2 business days","within a few hours."
VintageAudioPlus,"544 Admirers","1,072 sales","(274)","4.8571","On Etsy since 2011","I gladly accept returns and cancellations","14 days of delivery","1 business day","within a few hours."
VintageAudioPlus,"544 Admirers","1,072 sales","(274)","4.8571","On Etsy since 2011","I gladly accept returns and cancellations","14 days of delivery","1 business day","within a few hours."
villagejewel,"1090 Admirers","1,904 sales","(465)","5","On Etsy since 2011","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
Rememberabilia,"22 Admirers","28 sales","(2)","5","On Etsy since 2017","","","1–2 business days","within 24 hours."
ImiraVintageDecor,"143 Admirers","471 sales","(105)","4.9014","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
TheVINTAGEShopBG,"1209 Admirers","2,451 sales","(466)","4.9031","On Etsy since 2017","I gladly accept returns and cancellations","7 days of delivery","1–2 business days","within a few hours."
LostRetroRelics,"174 Admirers","1,212 sales","(220)","4.9403","On Etsy since 2015","","","3–5 business days","within 24 hours."
OLDSTUFFNOW,"410 Admirers","375 sales","(131)","5","On Etsy since 2013","","","1–3 business days","within a few hours."
LaLanterne,"1990 Admirers","981 sales","(237)","4.92","On Etsy since 2012","I gladly accept returns, exchanges, and cancellations","7 days of delivery","5–6 business days","within 24 hours."
EmyLittleShop,"238 Admirers","260 sales","(50)","4.8462","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within a few hours."
midcenturyfunk,"384 Admirers","1,475 sales","(411)","4.9206","On Etsy since 2016","","","1–2 business days","within 24 hours."
MoreUnusualTheBetter,"707 Admirers","2,143 sales","(662)","4.9252","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
framedvintageart,"1635 Admirers","2,243 sales","(601)","4.932","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
TheVintageAmerica,"853 Admirers","1,581 sales","(310)","4.8053","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
kodoan,"81 Admirers","38 sales","(7)","5","On Etsy since 2008","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
WeStartedWithAMouse,"1484 Admirers","1,475 sales","(284)","4.9268","On Etsy since 2015","I gladly accept returns","14 days of delivery","1 business day","within a few hours."
PanacheByJan,"10 Admirers","19 sales","(3)","5","On Etsy since 2018","","","3–5 business days",""
Aliensexsource,"5 Admirers","6 sales","(1)","1","On Etsy since 2017","","","1–2 business days",""
FloridaImportersShop,"3 Admirers","4 sales","","","On Etsy since 2019","","","3–5 business days",""
ellansrelics02,"1512 Admirers","3,061 sales","(923)","4.9692","On Etsy since 2008","","","1–3 business days","within a few hours."
BygoneEraMemories,"344 Admirers","1,200 sales","(367)","4.9774","On Etsy since 2013","I don't accept returns, exchanges, or cancellations","","","within a few hours."
LooseChipsWoodWork,"2223 Admirers","1,381 sales","(315)","4.9796","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
here1is,"3 Admirers","","","","On Etsy since 2009","","","3–5 business days","within 24 hours."
NICKTHEGREEKShop,"","","","","On Etsy since 2020","","","1–2 business days",""
BrocanteSisters,"630 Admirers","2,210 sales","(757)","4.9655","On Etsy since 2014","I gladly accept returns","3 days of delivery","3–5 business days","within a few hours."
horridlittles,"55 Admirers","78 sales","(16)","5","On Etsy since 2016","","","3–5 business days",""
MarketFleaShop,"227 Admirers","461 sales","(107)","4.9153","On Etsy since 2017","","","1–3 business days","within a few hours."
UKAmobile,"3433 Admirers","8,801 sales","(1980)","4.9102","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1 business day","within 24 hours."
RevintiqueShop,"18 Admirers","99 sales","(20)","5","On Etsy since 2018","","","1–2 business days","within a few hours."
ITSAStudioArts,"51 Admirers","30 sales","(9)","5","On Etsy since 2018","I gladly accept returns and exchanges","5 days of delivery","3–5 business days",""
SlavisVintageShop,"85 Admirers","130 sales","(23)","4.7826","On Etsy since 2019","I gladly accept returns, exchanges, and cancellations","14 days of delivery","3–5 business days","within 24 hours."
MyChapterFour,"30 Admirers","179 sales","(33)","4.9697","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
Britabean,"352 Admirers","1,878 sales","(496)","4.9658","On Etsy since 2009","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
vintagecomfortnstyle,"1530 Admirers","559 sales","(141)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
ITSAStudioArts,"51 Admirers","30 sales","(9)","5","On Etsy since 2018","I gladly accept returns and exchanges","5 days of delivery","3–5 business days",""
Tackagain,"","3 sales","","","On Etsy since 2018","","","1–2 business days",""
AntiqueShopNS,"158 Admirers","463 sales","(102)","4.899","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
UncleDonsTradingPost,"69 Admirers","315 sales","(89)","5","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
TheVintageRRobbin,"183 Admirers","637 sales","(130)","4.9012","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
DowneastHygge,"29 Admirers","73 sales","(27)","5","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
ICSONavasota,"21 Admirers","119 sales","(30)","5","On Etsy since 2019","","","1–3 business days",""
NICKTHEGREEKShop,"","","","","On Etsy since 2020","","","1–2 business days",""
VintagePisiShop,"328 Admirers","696 sales","(142)","4.9783","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
MoreUnusualTheBetter,"707 Admirers","2,143 sales","(662)","4.9252","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
VintageArtAndStyle,"222 Admirers","538 sales","(135)","4.9565","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
MemoriesToRestore,"225 Admirers","1,127 sales","(328)","4.9892","On Etsy since 2015","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
exploremag,"6492 Admirers","6,500 sales","(3311)","4.9904","On Etsy since 2011","I gladly accept returns and exchanges","7 days of delivery","1–2 business days","within a few hours."
Thehucksterwagon,"130 Admirers","630 sales","(158)","4.9649","On Etsy since 2015","","","1–3 business days","within 24 hours."
RetroEnvy21,"282 Admirers","713 sales","(181)","4.9818","On Etsy since 2016","I gladly accept cancellations","24 hours of purchase","3–5 business days","within a few hours."
oldfindsfreshdesigns,"198 Admirers","221 sales","(57)","4.9649","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
CuteZeesBonusRoom,"17 Admirers","170 sales","(34)","5","On Etsy since 2019","","","1–3 business days",""
Knittingfashionstyle,"355 Admirers","345 sales","(89)","4.7","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
KrustyTubs,"223 Admirers","186 sales","(55)","5","On Etsy since 2015","","","1–3 business days","within 24 hours."
IvesDriveVintage,"231 Admirers","915 sales","(211)","4.875","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
Daysgonebytreasures,"10755 Admirers","6,996 sales","(1726)","4.9528","On Etsy since 2012","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
ElegantBuyDesigns,"96 Admirers","445 sales","(134)","4.8588","On Etsy since 2015","","","3–5 business days","within a few hours."
TheKitschmasShop,"1473 Admirers","1,803 sales","(638)","4.9524","On Etsy since 2015","I gladly accept returns and exchanges","14 days of delivery","","within a few hours."
thecherrychic,"10602 Admirers","25,727 sales","(9149)","4.9599","On Etsy since 2008","I gladly accept returns and exchanges","5 days of delivery","1–3 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
BirchardHayes,"420 Admirers","155 sales","(39)","4.9091","On Etsy since 2017","I gladly accept returns and exchanges","7 days of delivery","1–3 business days","within a few hours."
Trustby,"4 Admirers","6 sales","(1)","5","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
JandLauraVintage,"3 Admirers","13 sales","(5)","5","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
shopkeeparlington,"1941 Admirers","4,931 sales","(1461)","4.9696","On Etsy since 2013","I gladly accept cancellations","6 hours of purchase","1–3 business days","within a few hours."
NICKTHEGREEKShop,"","","","","On Etsy since 2020","","","1–2 business days",""
VintageMemories412,"565 Admirers","2,688 sales","(750)","4.9318","On Etsy since 2014","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
Tackagain,"","3 sales","","","On Etsy since 2018","","","1–2 business days",""
CGcollectibles,"349 Admirers","299 sales","(77)","4.5714","On Etsy since 2012","","","1 business day","within a few hours."
NICKTHEGREEKShop,"","","","","On Etsy since 2020","","","1–2 business days",""
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
AntiquefindsBySky,"12 Admirers","","","","On Etsy since 2017","","","3–5 business days",""
YesterdayAndTomorrow,"1188 Admirers","1,472 sales","(517)","4.9718","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
VintageCrack,"1471 Admirers","1,121 sales","(271)","5","On Etsy since 2011","I gladly accept returns and exchanges","3 days of delivery","1–2 business days","within 24 hours."
EclecticObscurities,"66 Admirers","28 sales","","5","On Etsy since 2012","","","1–3 business days","within a few hours."
gasman201,"849 Admirers","1,674 sales","(645)","4.875","On Etsy since 2011","","","1–3 business days","within 24 hours."
ITSAStudioArts,"51 Admirers","30 sales","(9)","5","On Etsy since 2018","I gladly accept returns and exchanges","5 days of delivery","3–5 business days",""
ITSAStudioArts,"51 Admirers","30 sales","(9)","5","On Etsy since 2018","I gladly accept returns and exchanges","5 days of delivery","3–5 business days",""
SecondSymphony,"574 Admirers","810 sales","(202)","5","On Etsy since 2016","I gladly accept returns and cancellations","14 days of delivery","1–3 business days","within 24 hours."
HuntingCollectibles,"76 Admirers","102 sales","(32)","5","On Etsy since 2017","","","1–2 business days","within 24 hours."
Limbhad,"3137 Admirers","1,569 sales","(363)","4.8462","On Etsy since 2012","I gladly accept cancellations","6 hours of purchase","1–2 business days","within a few hours."
bobloveseleanor,"359 Admirers","730 sales","(187)","5","On Etsy since 2010","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
AntiquePlovdiv,"404 Admirers","621 sales","(104)","4.9091","On Etsy since 2016","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within 24 hours."
ProfessorVintage,"1054 Admirers","1,213 sales","(248)","4.8462","On Etsy since 2014","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
TinyThingsAreCute,"4274 Admirers","12,123 sales","(6950)","4.9488","On Etsy since 2007","I gladly accept cancellations","24 hours of purchase","1–3 business days",""
MyChapterFour,"30 Admirers","179 sales","(33)","4.9697","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
MunnGallery,"2 Admirers","","","","On Etsy since 2019","","","1 business day",""
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
CurioseVintageShop,"11 Admirers","32 sales","(10)","5","On Etsy since 2019","","","1–2 business days","within 24 hours."
TennesseeVintageLove,"14 Admirers","67 sales","(9)","5","On Etsy since 2019","I gladly accept returns and exchanges","5 days of delivery","1–3 business days",""
Cyclopaedia,"1516 Admirers","2,463 sales","(546)","4.9643","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within 24 hours."
FindsOfTimes,"36 Admirers","117 sales","(25)","4.9375","On Etsy since 2018","","","1–3 business days","within a few hours."
JoeBlake,"3505 Admirers","12,368 sales","(3491)","4.9306","On Etsy since 2009","","","1–3 business days","within 24 hours."
whisker,"46 Admirers","15 sales","(8)","5","On Etsy since 2007","","","1–3 business days","within 24 hours."
MyChapterFour,"30 Admirers","179 sales","(33)","4.9697","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
VintageStupidDog,"883 Admirers","1,577 sales","(341)","4.9659","On Etsy since 2015","","","1–2 business days","within a few hours."
OutlivedMemories,"540 Admirers","1,259 sales","(207)","4.9107","On Etsy since 2016","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within a few hours."
VintageHouseByLisa,"243 Admirers","983 sales","(209)","4.9342","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
maydo2019,"11 Admirers","4 sales","","","On Etsy since 2019","","","3–4 weeks",""
GeorgiaBalsaGliders,"26 Admirers","89 sales","","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
ChateauRocher,"899 Admirers","915 sales","(228)","4.9774","On Etsy since 2015","","","1–2 business days","within a few hours."
UniqueSheek,"115 Admirers","169 sales","(38)","4.7692","On Etsy since 2012","","","1–2 business days","within 24 hours."
TURKEYVINTAGESHOP,"74 Admirers","152 sales","(35)","4.8571","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
VintageCopperAndMore,"766 Admirers","3,429 sales","(876)","4.8996","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within a few hours."
FinoBlandax,"41 Admirers","185 sales","(45)","4.8605","On Etsy since 2018","I gladly accept returns and exchanges","7 days of delivery","3–5 business days","within a few hours."
Nandjarch,"150 Admirers","590 sales","(161)","4.9322","On Etsy since 2017","","","1–3 business days",""
ChinaCatVintageBooks,"25 Admirers","118 sales","(23)","4.95","On Etsy since 2018","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within 24 hours."
ItsabouttimeByCarrie,"9 Admirers","16 sales","(7)","4.2857","On Etsy since 2019","","","1 business day","within a few hours."
erdiscounts,"37 Admirers","374 sales","(64)","4.5769","On Etsy since 2018","","","3–5 business days","within 24 hours."
VintagePisiShop,"328 Admirers","696 sales","(142)","4.9783","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
VavavintageCo,"95 Admirers","373 sales","(74)","4.5","On Etsy since 2016","I gladly accept cancellations","2 days of purchase","1–3 business days","within 24 hours."
GuitarsWantedNow,"52 Admirers","23 sales","(3)","5","On Etsy since 2018","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
FlossyByNancy,"","","(1)","3","On Etsy since 2019","","","3–5 business days",""
TimelessMemoriesFind,"103 Admirers","669 sales","(167)","4.939","On Etsy since 2018","I gladly accept returns","3 days of delivery","1–2 business days","within a few hours."
CollectibleCompany,"53 Admirers","53 sales","(15)","5","On Etsy since 2018","","","1–3 business days","within 24 hours."
VavavintageCo,"95 Admirers","373 sales","(74)","4.5","On Etsy since 2016","I gladly accept cancellations","2 days of purchase","1–2 business days","within 24 hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
NoVaVault,"39 Admirers","203 sales","(46)","4.8649","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
VintageSilverLining,"3922 Admirers","3,954 sales","(1199)","4.954","On Etsy since 2010","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1–3 business days","within 24 hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
BadaBingBadaBoom47,"51 Admirers","38 sales","(22)","5","On Etsy since 2012","","","3–5 business days","within a few hours."
vintagebcindy,"433 Admirers","1,424 sales","(383)","4.988","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
carolspretties,"62 Admirers","125 sales","(40)","5","On Etsy since 2017","","","1–3 business days","within a few hours."
UpinGrandmasAttic,"200 Admirers","781 sales","(232)","5","On Etsy since 2014","","","1–3 business days","within a few hours."
AaronsArtichokeAlley,"724 Admirers","1,673 sales","(412)","4.9787","On Etsy since 2013","I gladly accept returns","7 days of delivery","3–5 business days","within 24 hours."
blissfulfinds,"1222 Admirers","2,657 sales","(872)","4.9881","On Etsy since 2011","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
MoreUnusualTheBetter,"707 Admirers","2,143 sales","(662)","4.9252","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
VintageShopandNew,"524 Admirers","1,873 sales","(366)","4.8841","On Etsy since 2014","","","1–2 business days","within a few hours."
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
HeritageAndHeart,"572 Admirers","1,446 sales","(271)","4.9157","On Etsy since 2012","I gladly accept returns and exchanges","7 days of delivery","1–3 business days","within 24 hours."
honeybeepollen,"2509 Admirers","6,048 sales","(2352)","4.9017","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","3–5 business days",""
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
VintageAudioPlus,"544 Admirers","1,072 sales","(274)","4.8571","On Etsy since 2011","I gladly accept returns and cancellations","14 days of delivery","1 business day","within a few hours."
TheVINTAGEShopBG,"1209 Admirers","2,451 sales","(466)","4.9031","On Etsy since 2017","I gladly accept returns and cancellations","7 days of delivery","1–2 business days","within a few hours."
TheVintageAmerica,"853 Admirers","1,581 sales","(310)","4.8053","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
Lilldim,"1003 Admirers","616 sales","(130)","5","On Etsy since 2015","I gladly accept returns and exchanges","3 days of delivery","1–3 business days","within a few hours."
pbClocks,"267 Admirers","485 sales","(97)","5","On Etsy since 2011","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
LunnaLoo,"308 Admirers","447 sales","(139)","4.8529","On Etsy since 2014","","","1–2 business days","within 24 hours."
VintageCopperAndMore,"766 Admirers","3,429 sales","(876)","4.8996","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
ChicoCash,"445 Admirers","497 sales","(153)","4.9524","On Etsy since 2011","","","1–3 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
DesDesVintage,"387 Admirers","362 sales","(173)","4.9714","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1 business day","within a few hours."
Good7thingstoday,"1 Admirer","","","","On Etsy since 2019","","","1–2 business days",""
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
JimRabun,"2216 Admirers","5,639 sales","(2562)","4.981","On Etsy since 2009","I gladly accept exchanges","7 days of delivery","1 business day","within a few hours."
VavavintageCo,"95 Admirers","373 sales","(74)","4.5","On Etsy since 2016","I gladly accept cancellations","2 days of purchase","1–3 business days","within 24 hours."
NautilusNostalgia,"292 Admirers","458 sales","(112)","5","On Etsy since 2018","I gladly accept returns and exchanges","3 days of delivery","1–2 business days","within a few hours."
VavavintageCo,"95 Admirers","373 sales","(74)","4.5","On Etsy since 2016","I gladly accept cancellations","2 days of purchase","1–3 business days","within 24 hours."
CurioseVintageShop,"11 Admirers","32 sales","(10)","5","On Etsy since 2019","","","1–2 business days","within 24 hours."
SearchEndsHere,"1645 Admirers","2,368 sales","(811)","4.975","On Etsy since 2014","I gladly accept returns","14 days of delivery","1–2 business days","within a few hours."
ellansrelics02,"1512 Admirers","3,061 sales","(923)","4.9692","On Etsy since 2008","","","1–3 business days","within a few hours."
TheVintagesTreasures,"615 Admirers","937 sales","(165)","4.875","On Etsy since 2016","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1–3 business days","within a few hours."
86home,"29039 Admirers","1,916 sales","(499)","5","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
larasstyle,"238 Admirers","333 sales","(48)","5","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within 24 hours."
RetroReaction,"1382 Admirers","5,077 sales","(1396)","4.9833","On Etsy since 2011","","","1–2 business days","within 24 hours."
WesleyTaylorsToys,"911 Admirers","1,570 sales","(499)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
AroostookDweller,"333 Admirers","155 sales","(71)","5","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
CandysToyBox,"1098 Admirers","915 sales","(231)","5","On Etsy since 2015","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
OldBeaverAntiques,"4466 Admirers","4,626 sales","(1456)","4.9037","On Etsy since 2012","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
AntiquesandVaria,"1773 Admirers","1,314 sales","(396)","4.3947","On Etsy since 2011","I don't accept returns, exchanges, or cancellations","","1 business day","within a few hours."
MoreUnusualTheBetter,"707 Admirers","2,143 sales","(662)","4.9252","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
HereThereNowhere,"175 Admirers","374 sales","(94)","5","On Etsy since 2012","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
